Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%
2,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%
3,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7%
4,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000",67.3%
5,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%
6,Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000",77.3%
7,Inside Out,"$857,611,174","$356,461,711",41.6%,"$501,149,463",58.4%
8,Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.6%,"$487,671,890",71.4%
9,The Hunger Games: Mockingjay - Part 2,"$658,344,137","$281,723,902",42.8%,"$376,620,235",57.2%
10,The Martian,"$630,161,890","$228,433,663",36.2%,"$401,728,227",63.8%
11,Fifty Shades of Grey,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%
12,Cinderella,"$542,351,353","$201,151,353",37.1%,"$341,200,000",62.9%
13,The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%
14,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%
15,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%
16,San Andreas,"$473,990,832","$155,190,832",32.7%,"$318,800,000",67.3%
17,Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%
18,Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%
19,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%
20,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%
21,Mad Max: Fury Road,"$374,736,354","$153,636,354",41%,"$221,100,000",59%
22,The Good Dinosaur,"$332,207,671","$123,087,120",37.1%,"$209,120,551",62.9%
23,Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%
24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%
25,Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.2%,"$230,598,864",73.8%
26,The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.8%,"$166,823,455",56.2%
27,Pitch Perfect 2,"$287,144,079","$184,296,230",64.2%,"$102,847,849",35.8%
28,Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.5%,"$258,124,638",99.5%
29,Lost in Hong Kong,"$256,283,912","$1,302,281",0.5%,"$254,981,631",99.5%
30,The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%
31,Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%
32,Daddy's Home,"$242,786,137","$150,357,137",61.9%,"$92,429,000",38.1%
33,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%
34,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%
35,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%
36,Ted 2,"$215,863,606","$81,476,385",37.7%,"$134,387,221",62.3%
37,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%
38,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%
39,Straight Outta Compton,"$201,634,991","$161,197,785",79.9%,"$40,437,206",20.1%
40,The Intern,"$194,564,672","$75,764,672",38.9%,"$118,800,000",61.1%
41,Jupiter Ascending,"$183,887,723","$47,387,723",25.8%,"$136,500,000",74.2%
42,Creed,"$173,567,581","$109,767,581",63.2%,"$63,800,000",36.8%
43,Fantastic Four,"$167,882,881","$56,117,548",33.4%,"$111,765,333",66.6%
44,Bridge of Spies,"$165,478,348","$72,313,754",43.7%,"$93,164,594",56.3%
45,Focus,"$158,762,963","$53,862,963",33.9%,"$104,900,000",66.1%
46,Goosebumps,"$158,260,952","$80,080,379",50.6%,"$78,180,573",49.4%
47,Ip Man 3,"$156,954,938","$2,679,437",1.7%,"$154,275,501",98.3%
48,The Hateful Eight,"$155,760,117","$54,117,416",34.7%,"$101,642,701",65.3%
49,Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%
50,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%
51,Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%
52,Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%
53,Point Break,"$133,718,711","$28,782,481",21.5%,"$104,936,230",78.5%
54,The Big Short,"$133,440,870","$70,259,870",52.7%,"$63,181,000",47.3%
55,Pan,"$128,388,320","$35,088,320",27.3%,"$93,300,000",72.7%
56,Detective Chinatown,"$125,842,935","$474,252",0.4%,"$125,368,683",99.6%
57,Wolf Totem,"$125,837,070","$210,591",0.2%,"$125,626,479",99.8%
58,Ride Along 2,"$124,605,297","$91,221,830",73.2%,"$33,383,467",26.8%
59,Dragon Blade,"$122,593,849","$74,068",<0.1%,"$122,519,781",99.9%
60,Magic Mike XXL,"$117,813,057","$66,013,057",56%,"$51,800,000",44%
61,Insidious: Chapter 3,"$112,983,889","$52,218,558",46.2%,"$60,765,331",53.8%
62,Get Hard,"$111,711,453","$90,411,453",80.9%,"$21,300,000",19.1%
63,The 5th Wave,"$109,906,372","$34,916,787",31.8%,"$74,989,585",68.2%
64,Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190",66%,"$36,550,035",34%
65,Vacation,"$107,228,221","$58,884,188",54.9%,"$48,344,033",45.1%
66,The Man from U.N.C.L.E.,"$107,045,109","$45,445,109",42.5%,"$61,600,000",57.5%
67,Shaun the Sheep Movie,"$106,209,378","$19,375,982",18.2%,"$86,833,396",81.8%
68,Sisters,"$105,011,053","$87,044,645",82.9%,"$17,966,408",17.1%
69,Chappie,"$102,811,889","$31,569,268",30.7%,"$71,242,621",69.3%
70,Joy,"$101,134,059","$56,451,232",55.8%,"$44,682,827",44.2%
71,Black Mass,"$99,775,678","$62,575,678",62.7%,"$37,200,000",37.3%
72,Spotlight,"$98,690,254","$45,055,776",45.7%,"$53,634,478",54.3%
73,Devil and Angel,"$98,599,942","$131,058",0.1%,"$98,468,884",99.9%
